isim,cinsiyet,yas,boy,kilo,takim,uok,yil,sezon,sehir,spor,etkinlik,madalya
"Gordon Belgum ""Gordy"" Adam",M,21.0,187.38357094365242,84.17521652231845,United States,USA,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
Ji Adam,M,25.0,187.0,83.0,Czechoslovakia,TCH,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,Canada,CAN,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
Otto Adam,M,26.0,178.25694444444446,73.33481575603558,Germany,GER,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
Pierre Louis Eugne Adam,M,24.0,179.6309887869521,73.39152892561984,France,FRA,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Dariusz Adamczuk,M,22.0,179.0,78.0,Poland,POL,1992,Summer,Barcelona,Football,Football Men's Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
Edgar Holmes Adams,M,36.0,175.33896987366376,70.70239290053351,United States,USA,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
Harry Lester Adams,M,31.0,174.0,109.0,United States,USA,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
Adrian Neil Adams,M,21.0,178.0,78.0,Great Britain,GBR,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,M,25.0,178.0,78.0,Great Britain,GBR,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
Nicola Virginia Adams,F,29.0,164.0,51.0,Great Britain,GBR,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,Great Britain,GBR,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
Platt Adams,M,27.0,188.0,78.0,United States,USA,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
Rachael Alexis Adams,F,26.0,188.0,81.0,United States,USA,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Great Britain,GBR,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,NZL,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,NZL,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,NZL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,GER,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
Herbert Adamski,M,26.0,180.65384615384616,76.47368421052632,Germany,GER,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
Jerzy Adamski,M,23.0,171.0,58.0,Poland,POL,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
Simon Addo,M,17.0,180.0,79.0,Ghana,GHA,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
Eugene Addor,M,25.556898357297374,175.5,70.70239290053351,Switzerland,SUI,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
Olubayo Adefemi,M,22.0,181.0,82.0,Nigeria,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
"Ayodele ""Dele"" Adeleye",M,19.0,190.0,80.0,Nigeria,NGR,2008,Summer,Beijing,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,BRA,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,28.0,179.0,74.0,Brazil,BRA,1988,Summer,Seoul,Football,Football Men's Football,Silver
